miRNA,disease,label,used
mir-1290,squamous cell carcinoma of head and neck,1,True
mir-361-3p,uterine cervical neoplasms,1,True
hsa-mir-943,"liver cirrhosis, biliary",1,True
mir-93,breast neoplasms,1,True
mir-25-3p,"leukemia, myeloid, acute",0,True
mir-503,stomach neoplasms,1,True
mir-770,atherosclerosis,0,True
mir-31*,alzheimer disease,0,True
mir-22-3p,adenocarcinoma of lung,1,True
mir-498,uterine cervical neoplasms,1,True
mir-107,urinary bladder neoplasms,1,True
hsa-mir-522-3p,"liver cirrhosis, biliary",1,True
mir-203,"leukemia, myeloid, acute",1,True
mir-153-3p,melanoma,1,True
mir-890,glioma,1,True
hsa-mir-940,chronic thromboembolic pulmonary hypertension,1,True
mir-519d-3p,osteoarthritis,1,True
mir-522-3p,inflammatory bowel diseases,0,True
mir-6506-5p,stomach neoplasms,1,True
crkl,chronic thromboembolic pulmonary hypertension,1,True
mir-130a,stomach neoplasms,1,True
mirna-130a,bladder urothelial carcinoma,0,True
mir-17-5p,prostatic neoplasms,1,True
mir-647,ovarian neoplasms,1,True
mir-410-3p,"diabetes, gestational",0,True
mir-16-5p,stomach neoplasms,1,True
mir-1271-3p,infantile hemangioma,1,True
mir-532-3p,colorectal neoplasms,1,True
mir199a2,diabetes mellitus,0,True
mir-544a,glioma,1,True
mir-637,stomach neoplasms,1,True
mir-195-5p,"carcinoma, renal cell",1,True
mir-1270,urinary bladder neoplasms,1,True
mir-26b,pancreatic neoplasms,1,True
mir-153,"carcinoma, renal cell",1,True
mir-8075,uterine cervical neoplasms,1,True
mir-34a,"carcinoma, pancreatic ductal",1,True
mir-217,retinal neurodegeneration,1,True
mir-1294,hematopoiesis,0,True
mir-7-5p,breast neoplasms,1,True
mir-5047,pre-eclampsia,0,True
mir-7-5p,nasopharyngeal carcinoma,1,True
mir-548g,active tuberculosis,0,True
mir-18a,myocardial infarction,0,True
mir-566,adenocarcinoma of lung,1,True
mir-106a-5p,lung neoplasms,0,True
mir-330-5p,glioma,1,True
mir-653,urinary bladder neoplasms,1,True
mir-1297,hepatocellular steatosis,0,True
mir-613,colorectal neoplasms,1,True
mir-5095,esophageal neoplasms,1,True
mir-217,pancreatic neoplasms,1,True
mir-93-3p,metabolism-related diseases,0,True
mir-567,adenocarcinoma of lung,1,True
mir-15b-5p,inflammatory bowel diseases,0,True
mir-497-5p,stomach neoplasms,1,True
mir-203a-3p,osteosarcoma,1,True
hsa-mir-940,"leukemia, promyelocytic, acute",0,True
mir-569,osteosarcoma,1,True
mir-150,lupus nephritis,1,True
mir-370-3p,colorectal neoplasms,1,True
mir-665,"carcinoma, hepatocellular",1,True
mir-645-ifit2,alzheimer disease,0,True
mir-877-3p,stomach neoplasms,1,True
mir-568,active tuberculosis,0,True
mir-1227,endometrial neoplasms,1,True
mir-3942-3p,breast neoplasms,1,True
mir-296-5p,"carcinoma, renal cell",1,True
mir-490-5p,"carcinoma, hepatocellular",1,True
mir-593-3p,"carcinoma, non-small-cell lung",1,True
mir-6884,prostatic neoplasms,1,True
mir-22,adenocarcinoma of lung,1,True
has-mir-203,osteoporosis,1,True
mir-208a,triple negative breast neoplasms,1,True
mir-152-3p,"diabetes, gestational",0,True
mir-299,breast neoplasms,0,True
mir-5008,prostatic neoplasms,1,True
mir-1200,osteosarcoma,1,True
mir-1307,"carcinoma, hepatocellular",1,True
mir-2113,infantile hemangioma,1,True
mir-338-5p,colorectal neoplasms,1,True
mir-185-5p,repeated implantation failure,0,True
mir-296-3p,"leukemia, myelogenous, chronic, bcr-abl positive",0,True
mir-129-5p,"carcinoma, hepatocellular",1,True
mir-607,"leukemia, lymphocytic, chronic, b-cell",1,True
mir-892b,infantile hemangioma,1,True
mir-424-5p,liver neoplasms,1,True
mir-302e,"carcinoma, non-small-cell lung",1,True
let-7c-5p,endometrial neoplasms,1,True
mir-4269,stomach neoplasms,1,True
mir-106a-3p,liver neoplasms,1,True
hsa-mir-637,essential hypertension,1,True
mir-484,"carcinoma, hepatocellular",1,True
mir-7,esophageal squamous cell carcinoma,1,True
mir-199a-3p,retinoblastoma,0,True
mir-548c-3p,hypopharyngeal neoplasms,1,True
mir-570-3p,urinary bladder neoplasms,1,True
mir-34a-5p,hypopharyngeal neoplasms,0,True
mir-16,stomach neoplasms,1,True
mir-873-3p,lung squamous cell carcinoma,1,True
mir-625-5p,glioma,1,True
mir-31,colorectal neoplasms,1,True
mir-485-3p,breast neoplasms,1,True
hif1a,"vitreoretinopathy, proliferative",0,True
mir-7,"carcinoma, non-small-cell lung",1,True
mir-145-5p,urinary bladder neoplasms,1,True
mir-9,"carcinoma, hepatocellular",1,True
mir-500a-5p,"thyroid cancer, papillary",1,True
mir-1246,"vitreoretinopathy, proliferative",0,True
mir-139,osteoporosis,0,True
mir-499-5p,myocardial senescence,0,True
hsa-mir-5095,ischemic stroke,0,True
mir-103,"carcinoma, hepatocellular",1,True
mir-141-3p,"carcinoma, hepatocellular",1,True
mir-513b-5p,ovarian neoplasms,1,True
mir-1912,esophageal neoplasms,1,True
mir-4688,"carcinoma, hepatocellular",1,True
mir-4493,glioma,1,True
mir-208b-5p,"thyroid cancer, papillary",1,True
mir-25,cholangiocarcinoma,0,True
mir-106b-5p,colonic neoplasms,1,True
mir-506,uterine cervical neoplasms,1,True
mir-362-3p,"carcinoma, hepatocellular",1,True
mir-486,"carcinoma, hepatocellular",1,True
mir-653-5p,"carcinoma, non-small-cell lung",1,True
mir-384,"diabetes mellitus, type 2",0,True
mir-1304,stomach neoplasms,1,True
mir-133a,multiple sclerosis,0,True
mir-299-3p,cutaneous squamous cell carcinoma,1,True
mir-4520-2-3p,"thyroid cancer, papillary",1,True
hsa-mir-146b-5p,crohn disease,1,True
mir155hg,herpes simplex,0,True
mir-593,breast neoplasms,1,True
mir-93-3p,cutaneous squamous cell carcinoma,1,True
mir-503-5p,stomach neoplasms,1,True
mir-181d-5p,myocardial infarction,0,True
mir-191,"carcinoma, hepatocellular",1,True
mir-153,stomach neoplasms,1,True
mir-181a-5p,urinary bladder neoplasms,1,True
mir-216a-3p,infantile hemangioma,1,True
mir-370-3p,esophageal neoplasms,1,True
mir-665,cutaneous squamous cell carcinoma,1,True
mir-577,nasopharyngeal carcinoma,1,True
mir-486-3p,squamous cell carcinoma of head and neck,1,True
mir-150,tuberculosis,0,True
mir-146b-3p,urinary bladder neoplasms,1,True
mir-9-5p,liver neoplasms,1,True
mir-149,stomach neoplasms,1,True
19b,uterine cervical neoplasms,0,True
